,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,56.727933253278906,50.12190705982505,-0.3426033493545901,6.3619882236195195,48.80091691874577,87.15866431465115,190.82102999640523
strand,286,2,+,143,,,,,,,
samplea_counts,286,219,m:422,4,,,,,,,
samplea_total,286.0,,,,561.7342657342657,128.81854236416194,11.0,523.0,585.0,633.75,743.0
sampleb_counts,286,62,m:0,45,,,,,,,
sampleb_total,286.0,,,,82.51748251748252,22.710490086209802,2.0,71.0,80.5,101.0,118.0
samplea_percents,286,285,m:87.94,2,,,,,,,
sampleb_percents,286,197,m:0.00,45,,,,,,,
samplea_fraction_modified,286.0,,,,0.6659594986363636,0.21159287439973185,0.0,0.52992313,0.7064694,0.8367853749999999,0.993865
sampleb_fraction_modified,286.0,,,,0.19564892358216784,0.31221952741448744,0.0,0.013157895,0.038838614,0.175618135,1.0
map_pvalue,286.0,,,,0.18050389803251926,0.36854062373306334,0.0,0.0,5.1500000000000005e-15,0.008305005231262074,1.0
effect_size,286.0,,,,0.47028669786794697,0.2989943877789475,-0.3111111111111111,0.21908163265306116,0.5305882352941176,0.7217296918767506,0.9
cohen_h,286.0,,,,1.2069608172647188,0.7595411405422763,-0.824981182142849,0.5124467060399649,1.3561892987874502,1.804802833910499,2.4836399682872288
cohen_h_low,286.0,,,,0.9775453601442537,0.7560979514172605,-0.9947193905501014,0.24058742504038966,1.1252281281405274,1.5834886880761079,2.2375258561271694
cohen_h_high,286.0,,,,1.4806635470906389,0.7101141855915595,0.2253621805930662,0.9453687105919677,1.5858938401604854,2.0659221799956713,2.729754080447288
