,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,217.38054746805753,244.7549165010157,-0.345585495841533,12.552881706822859,140.5368374815214,334.45019020042787,972.8796051901736
strand,286,2,+,143,,,,,,,
samplea_counts,286,251,m:590,3,,,,,,,
samplea_total,286.0,,,,879.6608391608391,223.17081886051386,19.0,766.5,873.5,1046.75,1268.0
sampleb_counts,286,133,m:3,18,,,,,,,
sampleb_total,286.0,,,,448.034965034965,95.3583389549356,7.0,427.75,466.0,501.0,575.0
samplea_percents,286,280,m:92.00,2,,,,,,,
sampleb_percents,286,255,m:0.22,4,,,,,,,
samplea_fraction_modified,286.0,,,,0.6880321736923077,0.2587425135249885,0.047244094,0.484164665,0.75901155,0.92292265,1.0
sampleb_fraction_modified,286.0,,,,0.2761730346877622,0.37176100045056854,0.0,0.0146322325,0.0455091945,0.49935783750000007,1.0
map_pvalue,286.0,,,,0.23815346931284895,0.4185337063098624,0.0,0.0,1.20265e-11,0.09264558296352865,1.0
effect_size,286.0,,,,0.4115744988948895,0.3255166675013137,-0.1949999999999999,0.09249999999999997,0.42,0.69,0.97
cohen_h,286.0,,,,1.060083289290295,0.8354313617401895,-0.5551110677807247,0.3280129633621714,1.061206265318674,1.6839972667291616,2.6647462801660837
cohen_h_low,286.0,,,,0.9607307225857866,0.8142216810239167,-0.6068314581014111,0.19792680169829788,0.9449569993569322,1.5723818579891315,2.553988327990633
cohen_h_high,286.0,,,,1.2133319349234553,0.7940327786473121,0.0989742818044855,0.5037872083973511,1.1876188103309335,1.7979540481944212,2.7755042323415333
